Москва:
id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
148192,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 8 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-priveredlivyh-koshek-s-indeykoy.html,4299,4299,Wellkiss
140799,"Indoor Сухой корм для кошек, с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/indoor-suhoy-korm-dlya-koshek-s-yagnenkom.html,1699,1699,Grandin
113389,"Adult Chicken Корм сухой беззерновой для кошек, с курицей, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-koshek-bezzernovoy-s-kuricey.html,1099,1099,Ownat
146995,"Adult Sterilized Sensitive сухой корм для стерилизованных кошек с тунцом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom1.html,1179,590,UNICA
137187,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/kholistik/farmina-n-d-oushen-ket-seld-i-apelsin-dlya-sterilizovannyh-koshek-i-kastrirovannyh-kotov-300g.html,3595,3236,Farmina
132686,"Sterilised Сухой корм для стерилизованных кошек с индейкой, 1,5 кг + 400г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-1-5kg-d-sterkoshaftekeaindkur-1-5kg-400g.html,1869,1869,PRO PLAN®
112514,"Сухой корм для котят, ягненок с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-kotyat-yagnenok-s-risom-400g.html,2919,2919,Grandorf
112523,"Сухой корм для домашних кошек, белая рыба с индейкой, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-belaya-ryba-s-burym-risom-400g.html,2919,2919,Grandorf
113391,"Ultra Корм для кошек, с курицей и рисом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-koshek-s-kuricey-i-risom.html,1645,1399,Ownat
41926,"Kitten 36 корм для котят в возрасте от 4 до 12 мес, 2 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/Royal_Canin_Kitten_36_suhoy_korm_dlya_kotyat_vozrast_do_12_mes_i_beremennyh_koshek.html,2405,2045,Royal Canin
41942,"Maine Coon Adult корм для кошек породы мейн-кун старше 15 месяцев, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_31_Adult_suhoy_korm_dlya_koshek_porody_Meyn_Kun.html,2899,2465,Royal Canin
41879,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек после стерилизации для взрослых кошек, с лососем, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshekosostunets.html,1869,1496,PRO PLAN®
146682,"Indoor сухой корм для кошек с курицей, морковью и рисом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-kuricey-morkovyu-i-risom.html,1689,845,UNICA
42552,"Veterinary Diets EN ST/OX Gastrointestinal сухой корм для котят и взрослых кошек для снижения проявлений кишечных расстройств, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Purina_Veterinary_Diets_EN_dieticheskiy_suhoy_korm_dlya_koshek_pri_patologiyah_GKT.html,3079,3079,PRO PLAN® Veterinary Diets
112526,"Сухой корм для домашних кошек, четыре вида мяса, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-chetyre-vida-myasa-s-burym-risom-400g.html,3155,3155,Grandorf
138258,"Adult Classic Корм сухой для кошек, с рыбой, 1.5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-s-ryboy.html,925,925,Ownat
124631,"Adult Grain Free Сухой корм для взрослых кошек, с курицей и индейкой, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/gf-prime-korm-suhoy-dlya-vzroslyh-koshek-s-kuricey-i-indeykoy.html,1245,1245,Ownat
120007,"Vet Life Struvite диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/vet-life-natural-diet-cat-struvite-400-gr.html,3769,3769,Farmina
48181,"Gastro Intestinal GI32 корм для кошек при лечении ЖКТ, 2 кг",https://4lapy.ru/catalog/koshki/Royal_Canin_Gastro_Intestinal_GI_32_dieticheskiy_suhoy_korm_dlya_koshek_pri_narusheniyah_pishchevareniya.html,3629,3629,Royal Canin
